Trial,Trt,DurG,DurE1toSustE2,DurE1,DurE1BeforeE2,DurE2,DurC,Durnp,NumE1,NumE2
Trial1-ch8_SM.ana,SYR,0,2.321666667,5.6335,382.9566667,378.3316667,56.05333333,39.97866667,11,8
Trial2-ch1_.ANA,SYR,0,2.176833333,11.924,360.1526667,354.8256667,104.7418333,18.20283333,6,3
Trial2-ch3_.ANA,INC,0,3.103833333,16.77483333,329.0676667,312.2928333,59.68683333,91.2455,7,7
Trial2-ch7_.ANA,INC,0,1.940833333,8.626166667,385.7086667,383.5416667,72.089,15.74316667,6,4
Trial3-ch2_SM.ANA,SYR,0.428,36.3,258.9806667,278.8058333,19.82516667,71.72616667,1.371833333,5,5
Trial3-ch3_SM.ANA,TUB,0,2.512833333,8.101333333,130.9601667,128.3826667,155.1505,188.3626667,3,2
Trial3-ch7_SM.ANA,TUB,0,7.637666667,7.889666667,429.4955,421.6058333,37.5265,12.978,2,2
Trial4-ch1_.ANA,SYR,0,3.680833333,24.19783333,309.1355,303.83,89.503,62.46916667,7,3
Trial4-ch3_SM.ANA,SYR,61.92066667,0,18.07633333,0,0,281.2588333,118.7441667,2,0
Trial4-ch4_.ANA,INC,0,4.400166667,18.73,272.5156667,267.0545,68.0285,126.187,9,7
Trial6-ch4_SM.ANA,INC,0,8.571333333,8.571333333,178.8996667,170.3283333,79.80566667,221.2946667,1,1
Trial7-ch3_SM.ANA,SYR,27.29266667,6.056,8.602333333,20.46483333,14.27916667,174.6738333,255.152,4,3
Trial8-ch2_.ANA,TUB,0,4.4355,19.86816667,405.6935,390.0523333,63.54683333,6.532666667,3,2
Trial8-ch3_.ANA,SYR,0,9.842333333,62.4535,30.58366667,20.74133333,111.2145,285.5906667,3,1
Trial8-ch4_.ANA,INC,0,4.804833333,5.017833333,448.8603333,443.8425,14.679,16.46066667,2,2
Trial8-ch6_.ANA,TUB,0,1.635833333,1.635833333,280.1893333,278.5535,54.40466667,145.406,1,1
Trial9-ch8_.ANA,TUB,28.90983333,3.871,5.800333333,284.1643333,280.2933333,63.0495,101.947,2,1
Trial10-ch1_.ANA,INC,124.3568333,1.680666667,1.909333333,244.928,243.0186667,28.82483333,81.89033333,3,3
Trial10-ch2_.ANA,TUB,173.237,2.1535,2.553833333,159.0183333,156.7276667,44.31216667,103.1693333,4,3
Trial10-ch6_.ANA,TUB,27.38616667,0,0,0,0,178.4023333,274.2115,0,0
Trial10-ch8_.ANA,INC,49.74416667,2.126,2.126,202.6688333,200.5428333,34.70816667,192.8788333,1,1
Trial11-ch2_.ANA,TUB,75.40266667,0,1.603333333,0.129833333,0.074666667,59.81533333,294.811,2,1
Trial11-ch3_.ANA,INC,79.265,0,3.137166667,0,0,135.9558333,262.08,1,0
Trial11-ch7_.ANA,INC,0,1.520666667,3.478666667,11.862,10.34133333,197.6401667,268.5398333,3,1
Trial12-ch3_.ANA,INC,5.956833333,0,6.201,11.07616667,8.964833333,184.4475,257.7821667,4,3
Trial12-ch4_.ANA,TUB,40.96183333,4.006833333,4.074833333,48.49666667,44.42183333,62.14066667,288.97,2,2
Trial13-ch1_.ANA,INC,47.22,0,17.69383333,10.346,1.72,191.6111667,221.755,3,1
Trial13-ch7_.ANA,SYR,0,2.914833333,3.212666667,70.4065,67.49166667,115.4208333,293.8748333,2,1
Trial14-ch1_.ANA,TUB,64.79266667,1.935666667,2.4275,206.541,204.6053333,33.28933333,174.8851667,3,1
Trial14-ch2_.ANA,INC,0,2.6925,2.947333333,68.445,65.5765,245.1021667,166.374,5,4
Trial14-ch8_.ANA,INC,0.0725,2.908666667,5.285833333,197.5161667,192.2303333,75.42583333,206.9855,4,4
Trial15-ch1_.ANA,TUB,0,4.206166667,11.56433333,179.2435,174.6841667,54.663,239.0885,8,6
Trial15-ch2_.ANA,SYR,0,4.5735,4.637333333,146.0566667,141.4193333,184.643,149.3003333,2,2
Trial15-ch7_.ANA,INC,28.21416667,4.551333333,4.625333333,279.3315,274.7061667,159.1895,13.26483333,2,2
Trial15-ch8_.ANA,TUB,17.58066667,8.274,31.75766667,218.709,194.8235,132.8408333,102.9973333,13,11
