NUMBER,MORPH,INITIAL,CHOICE,AGE,TIME,SIDE
1,ALATE,INC,SYR,14,72,L
2,ALATE,INC,NA,NA,480,NA
3,ALATE,INC,NA,NA,480,NA
4,ALATE,INC,INC,13,225,L
5,ALATE,INC,NA,NA,480,NA
6,ALATE,INC,NA,NA,480,NA
7,ALATE,INC,INC,13,240,R
8,ALATE,INC,SYR,14,92,R
9,ALATE,INC,INC,13,106,R
10,ALATE,INC,INC,13,264,L
11,ALATE,INC,SYR,14,49,L
12,ALATE,INC,INC,13,76,L
13,ALATE,INC,SYR,14,202,L
14,ALATE,INC,SYR,14,321,R
15,ALATE,INC,SYR,14,77,L
16,ALATE,INC,INC,13,43,L
17,ALATE,INC,NA,NA,480,NA
18,ALATE,INC,SYR,14,102,R
19,ALATE,INC,INC,13,90,R
20,ALATE,INC,INC,13,101,L
21,ALATE,INC,INC,13,150,R
22,ALATE,INC,SYR,14,101,L
23,ALATE,INC,SYR,14,20,R
24,ALATE,INC,INC,13,275,R
25,ALATE,INC,INC,13,139,L
26,ALATE,INC,SYR,14,200,L
27,ALATE,INC,SYR,14,107,L
28,ALATE,INC,SYR,14,186,R
29,ALATE,INC,INC,13,73,R
30,ALATE,INC,NA,NA,480,NA
31,APTEROUS,INC,SYR,14,265,L
32,APTEROUS,INC,NA,NA,480,NA
33,APTEROUS,INC,SYR,14,50,L
34,APTEROUS,INC,INC,13,126,L
35,APTEROUS,INC,SYR,14,47,L
36,APTEROUS,INC,NA,NA,480,NA
37,APTEROUS,INC,SYR,14,45,L
38,APTEROUS,INC,SYR,14,32,R
39,APTEROUS,INC,INC,13,56,R
40,APTEROUS,INC,INC,13,353,L
41,APTEROUS,INC,NA,NA,480,NA
42,APTEROUS,INC,INC,13,185,R
43,APTEROUS,INC,SYR,14,260,R
44,APTEROUS,INC,SYR,14,112,L
45,APTEROUS,INC,SYR,14,303,R
46,APTEROUS,INC,INC,13,67,R
47,APTEROUS,INC,NA,NA,480,NA
48,APTEROUS,INC,SYR,14,97,L
49,APTEROUS,INC,INC,13,110,L
50,APTEROUS,INC,INC,13,100,R
51,APTEROUS,INC,NA,NA,480,NA
52,APTEROUS,INC,SYR,14,299,R
53,APTEROUS,INC,SYR,14,94,L
54,APTEROUS,INC,INC,13,276,L
55,APTEROUS,INC,NA,NA,480,NA
56,APTEROUS,INC,SYR,14,349,R
57,APTEROUS,INC,NA,NA,480,NA
58,APTEROUS,INC,NA,NA,480,NA
59,APTEROUS,INC,SYR,14,294,L
60,APTEROUS,INC,NA,NA,480,NA
