NUMBER,MORPH,INITIAL,CHOICE,AGE,TIME,SIDE
1,ALATE,INC,SYR,14,72,L
2,ALATE,INC,NA,NA,480,NA
3,ALATE,INC,NA,NA,480,NA
4,ALATE,INC,INC,13,225,L
5,ALATE,INC,NA,NA,480,NA
6,ALATE,INC,NA,NA,480,NA
7,ALATE,INC,INC,13,240,R
8,ALATE,INC,SYR,14,92,R
9,ALATE,INC,INC,13,106,R
10,ALATE,INC,INC,13,264,L
11,ALATE,INC,SYR,14,49,L
12,ALATE,INC,INC,13,76,L
13,ALATE,INC,SYR,14,202,L
14,ALATE,INC,SYR,14,321,R
15,ALATE,INC,SYR,14,77,L
16,ALATE,INC,INC,13,43,L
17,ALATE,INC,NA,NA,480,NA
18,ALATE,INC,SYR,14,102,R
19,ALATE,INC,INC,13,90,R
20,ALATE,INC,INC,13,101,L
21,ALATE,INC,INC,13,150,R
22,ALATE,INC,SYR,14,101,L
23,ALATE,INC,SYR,14,20,R
24,ALATE,INC,INC,13,275,R
25,ALATE,INC,INC,13,139,L
26,ALATE,INC,SYR,14,200,L
27,ALATE,INC,SYR,14,107,L
28,ALATE,INC,SYR,14,186,R
29,ALATE,INC,INC,13,73,R
30,ALATE,INC,NA,NA,480,NA
31,APTEROUS,INC,SYR,14,265,L
32,APTEROUS,INC,NA,NA,480,NA
33,APTEROUS,INC,SYR,14,50,L
34,APTEROUS,INC,INC,13,126,L
35,APTEROUS,INC,SYR,14,47,L
36,APTEROUS,INC,NA,NA,480,NA
37,APTEROUS,INC,SYR,14,45,L
38,APTEROUS,INC,SYR,14,32,R
39,APTEROUS,INC,INC,13,56,R
40,APTEROUS,INC,INC,13,353,L
41,APTEROUS,INC,NA,NA,480,NA
42,APTEROUS,INC,INC,13,185,R
43,APTEROUS,INC,SYR,14,260,R
44,APTEROUS,INC,SYR,14,112,L
45,APTEROUS,INC,SYR,14,303,R
46,APTEROUS,INC,INC,13,67,R
47,APTEROUS,INC,NA,NA,480,NA
48,APTEROUS,INC,SYR,14,97,L
49,APTEROUS,INC,INC,13,110,L
50,APTEROUS,INC,INC,13,100,R
51,APTEROUS,INC,NA,NA,480,NA
52,APTEROUS,INC,SYR,14,299,R
53,APTEROUS,INC,SYR,14,94,L
54,APTEROUS,INC,INC,13,276,L
55,APTEROUS,INC,NA,NA,480,NA
56,APTEROUS,INC,SYR,14,349,R
57,APTEROUS,INC,NA,NA,480,NA
58,APTEROUS,INC,NA,NA,480,NA
59,APTEROUS,INC,SYR,14,294,L
60,APTEROUS,INC,NA,NA,480,NA
61,ALATE,SYR,INC,14,470,L
62,ALATE,SYR,SYR,15,130,L
63,ALATE,SYR,NA,NA,480,NA
64,ALATE,SYR,INC,14,101,R
65,ALATE,SYR,SYR,15,80,R
66,ALATE,SYR,INC,14,28,R
67,ALATE,SYR,SYR,15,70,R
68,ALATE,SYR,NA,NA,480,NA
69,ALATE,SYR,INC,14,303,L
70,ALATE,SYR,SYR,15,339,L
71,ALATE,SYR,NA,NA,480,NA
72,ALATE,SYR,NA,NA,480,NA
73,ALATE,SYR,NA,NA,480,NA
74,ALATE,SYR,SYR,15,65,R
75,ALATE,SYR,SYR,15,47,L
76,ALATE,SYR,INC,14,29,L
77,ALATE,SYR,NA,NA,480,NA
78,ALATE,SYR,INC,14,77,L
79,ALATE,SYR,SYR,15,42,L
80,ALATE,SYR,INC,14,41,L
81,ALATE,SYR,INC,14,364,R
82,ALATE,SYR,SYR,15,193,R
83,ALATE,SYR,NA,NA,480,NA
84,ALATE,SYR,SYR,15,193,R
85,ALATE,SYR,INC,14,156,R
86,ALATE,SYR,SYR,15,150,R
87,ALATE,SYR,SYR,15,85,L
88,ALATE,SYR,INC,14,67,L
89,ALATE,SYR,INC,14,74,R
90,ALATE,SYR,NA,NA,480,NA
91,APTEROUS,SYR,INC,15,294,R
92,APTEROUS,SYR,NA,NA,480,NA
93,APTEROUS,SYR,INC,15,280,R
94,APTEROUS,SYR,INC,15,167,L
95,APTEROUS,SYR,SYR,16,294,L
96,APTEROUS,SYR,INC,15,74,L
97,APTEROUS,SYR,SYR,16,99,L
98,APTEROUS,SYR,INC,15,292,L
99,APTEROUS,SYR,NA,NA,480,NA
100,APTEROUS,SYR,NA,NA,480,NA
101,APTEROUS,SYR,INC,15,111,R
102,APTEROUS,SYR,NA,NA,480,NA
103,APTEROUS,SYR,NA,NA,480,NA
104,APTEROUS,SYR,NA,NA,480,NA
105,APTEROUS,SYR,SYR,16,149,R
106,APTEROUS,SYR,NA,NA,480,NA
107,APTEROUS,SYR,NA,NA,480,NA
108,APTEROUS,SYR,INC,15,352,R
109,APTEROUS,SYR,SYR,16,444,R
110,APTEROUS,SYR,SYR,16,399,L
111,APTEROUS,SYR,INC,15,417,L
112,APTEROUS,SYR,NA,NA,480,NA
113,APTEROUS,SYR,INC,15,306,L
114,APTEROUS,SYR,INC,15,87,R
115,APTEROUS,SYR,NA,NA,480,NA
116,APTEROUS,SYR,SYR,16,160,R
117,APTEROUS,SYR,SYR,16,69,L
118,APTEROUS,SYR,INC,15,114,L
119,APTEROUS,SYR,INC,15,139,R
120,APTEROUS,SYR,NA,NA,480,NA
