trial,trt,durG,durnp,numE1,numE2,numsustE2,percentE1,durE1tosustE2,durE1,durE2toanyE2,durE2,durC,durprobing,timeprobetosustE2,percentsustE2,numprobe
Trial1-ch8_SM.ana,SYR,0,39.97866667,11,8,3,1.467190383,2.321666667,5.6335,382.9566667,378.3316667,56.05333333,440.0185,49.984,37.5,15
Trial2-ch1_.ANA,SYR,0,18.20283333,6,3,1,3.251264032,2.176833333,11.924,360.1526667,354.8256667,104.7418333,532.9565,128.6626667,33.33333333,3
Trial2-ch3_.ANA,INC,0,91.2455,7,7,4,5.097685076,3.103833333,16.77483333,329.0676667,312.2928333,59.68683333,388.7545,136.2746667,57.14285714,8
Trial2-ch7_.ANA,INC,0,15.74316667,6,4,1,2.199610966,1.940833333,8.626166667,385.7086667,383.5416667,72.089,464.2568333,96.6955,25,7
Trial3-ch2_SM.ANA,SYR,0.428,1.371833333,5,5,1,92.88925686,36.3,258.9806667,278.8058333,19.82516667,71.72616667,350.96,334.719,20,1
Trial3-ch3_SM.ANA,TUB,0,188.3626667,3,2,1,5.935738499,2.512833333,8.101333333,130.9601667,128.3826667,155.1505,291.6345,256.8868333,50,18
Trial3-ch7_SM.ANA,TUB,0,12.978,2,2,2,1.836961427,7.637666667,7.889666667,429.4955,421.6058333,37.5265,467.022,52.39866667,100,2
Trial4-ch1_.ANA,SYR,0,62.46916667,7,3,1,7.376762236,3.680833333,24.19783333,309.1355,303.83,89.503,417.5308333,149.7275,33.33333333,5
Trial4-ch3_SM.ANA,SYR,61.92066667,118.7441667,2,0,0,100,0,18.07633333,0,0,281.2588333,361.2558333,477.4838333,0,11
Trial4-ch4_.ANA,INC,0,126.187,9,7,3,6.553889382,4.400166667,18.73,272.5156667,267.0545,68.0285,353.813,210.6301667,42.85714286,16
Trial6-ch4_SM.ANA,INC,0,221.2946667,1,1,1,4.791139913,8.571333333,8.571333333,178.8996667,170.3283333,79.80566667,258.7053333,193.1471667,100,18
Trial7-ch3_SM.ANA,SYR,27.29266667,255.152,4,3,1,37.59514601,6.056,8.602333333,20.46483333,14.27916667,174.6738333,224.848,257.2421667,33.33333333,25
Trial8-ch2_.ANA,TUB,0,6.532666667,3,2,2,4.846834122,4.4355,19.86816667,405.6935,390.0523333,63.54683333,473.4673333,72.20933333,100,1
Trial8-ch3_.ANA,SYR,0,285.5906667,3,1,1,75.06896462,9.842333333,62.4535,30.58366667,20.74133333,111.2145,194.4093333,398.6895,100,15
Trial8-ch4_.ANA,INC,0,16.46066667,2,2,1,1.117905273,4.804833333,5.017833333,448.8603333,443.8425,14.679,463.5393333,30.12166667,50,2
Trial8-ch6_.ANA,TUB,0,145.406,1,1,1,0.583831409,1.635833333,1.635833333,280.1893333,278.5535,54.40466667,334.594,193.0496667,100,19
Trial9-ch8_.ANA,TUB,28.90983333,101.947,2,1,1,2.027424585,3.871,5.800333333,284.1643333,280.2933333,63.0495,378.053,191.4921667,100,11
Trial10-ch1_.ANA,INC,124.3568333,81.89033333,3,3,1,0.77954882,1.680666667,1.909333333,244.928,243.0186667,28.82483333,398.1096667,234.7676667,33.33333333,11
Trial10-ch2_.ANA,TUB,173.237,103.1693333,4,3,1,1.603345858,2.1535,2.553833333,159.0183333,156.7276667,44.31216667,376.8306667,323.7043333,33.33333333,9
Trial10-ch6_.ANA,TUB,27.38616667,274.2115,0,0,0,0,0,0,0,0,178.4023333,205.7885,430.2285,0,9
