CAGE,SPECIES,HEIGHT,TIME,ALATE,NYMPH,ADULT
1,SYR,8,6,1,3,0
1,TUB,9,6,0,0,0
1,INC,27,6,2,7,0
2,SYR,17,6,0,0,0
2,TUB,5,6,0,0,0
2,INC,21,6,3,2,0
3,SYR,10,6,3,2,0
3,TUB,8,6,1,0,0
3,INC,17,6,0,0,0
4,SYR,16,6,1,0,0
4,TUB,5,6,0,0,0
4,INC,27,6,1,1,0
5,SYR,21,6,2,1,0
5,TUB,11,6,0,0,0
5,INC,18,6,2,1,0
6,SYR,12,6,1,0,0
6,TUB,5,6,0,0,0
6,INC,25,6,2,0,0
7,SYR,9,6,1,0,0
7,TUB,10,6,0,0,0
7,INC,31,6,0,0,0
8,SYR,12,6,0,0,0
8,TUB,11,6,0,0,0
8,INC,16,6,1,1,0
9,SYR,12,6,2,0,0
9,TUB,14,6,0,0,0
9,INC,16,6,0,0,0
10,SYR,12,6,1,1,0
10,TUB,13,6,0,0,0
10,INC,27,6,0,0,0
11,SYR,9,6,0,0,0
11,TUB,6,6,0,0,0
11,INC,25,6,0,0,0
12,SYR,11,6,3,6,0
12,TUB,11,6,0,0,0
12,INC,23,6,0,0,0
13,SYR,16,6,1,0,0
13,TUB,7,6,0,0,0
13,INC,26,6,3,1,0
14,SYR,7,6,2,1,0
14,TUB,10,6,0,0,0
14,INC,29,6,1,0,0
15,SYR,12,6,4,0,0
15,TUB,10,6,0,0,0
15,INC,35,6,1,2,0
16,SYR,13,6,0,0,0
16,TUB,14,6,1,2,0
16,INC,29,6,1,2,0
17,SYR,13,6,3,3,0
17,TUB,11,6,0,0,0
17,INC,31,6,1,1,0
18,SYR,9,6,0,0,0
18,TUB,9,6,0,0,0
18,INC,15,6,2,1,0
19,SYR,10,6,0,0,0
19,TUB,9,6,1,0,0
19,INC,22,6,0,0,0
20,SYR,12,6,1,1,0
20,TUB,10,6,2,0,0
20,INC,27,6,0,0,0
21,SYR,13,6,0,0,0
21,TUB,9,6,0,0,0
21,INC,24,6,4,0,0
22,SYR,10,6,1,3,0
22,TUB,11,6,0,0,0
22,INC,27,6,1,0,0
23,SYR,21,6,1,0,0
23,TUB,8,6,0,0,0
23,INC,26,6,1,0,0
24,SYR,11,6,2,6,0
24,TUB,6,6,0,0,0
24,INC,27,6,1,0,0
25,SYR,8,6,2,3,0
25,TUB,10,6,0,0,0
25,INC,28,6,2,3,0
1,SYR,8,30,1,3,0
1,TUB,9,30,0,0,0
1,INC,27,30,2,7,0
