CAGE,SPECIES,HEIGHT,WILT,TIME,ADULT,NYMPH
1,SYR,9,N,6,1,0
1,TUB,10,N,6,1,0
1,INC,26,Y,6,2,2
2,SYR,9,Y,6,0,0
2,TUB,12,N,6,0,0
2,INC,9,N,6,1,0
3,SYR,17,Y,6,0,0
3,TUB,14,N,6,0,0
3,INC,22,Y,6,0,0
4,SYR,14,N,6,2,3
4,TUB,12,N,6,1,0
4,INC,12,N,6,1,1
5,SYR,13,N,6,1,0
5,TUB,9,N,6,0,0
5,INC,15,N,6,0,0
6,SYR,12,N,6,0,0
6,TUB,9,N,6,0,0
6,INC,25,Y,6,0,0
7,SYR,10,N,6,1,0
7,TUB,12,N,6,0,0
7,INC,22,Y,6,0,0
8,SYR,8,N,6,1,1
8,TUB,12,N,6,1,0
8,INC,16,N,6,0,0
9,SYR,12,Y,6,1,1
9,TUB,12,Y,6,0,0
9,INC,18,Y,6,2,1
10,SYR,12,N,6,1,1
10,TUB,11,Y,6,1,0
10,INC,25,Y,6,1,0
11,SYR,12,N,6,4,2
11,TUB,8,N,6,0,0
11,INC,24,Y,6,0,0
12,SYR,10,Y,6,3,3
12,TUB,12,Y,6,0,0
12,INC,11,N,6,0,0
13,SYR,17,Y,6,3,0
13,TUB,9,Y,6,0,0
13,INC,28,Y,6,0,0
14,SYR,18,Y,6,2,2
14,TUB,9,N,6,0,0
14,INC,27,Y,6,1,0
15,SYR,12,Y,6,1,3
15,TUB,12,N,6,0,0
15,INC,19,N,6,1,0
16,SYR,12,N,6,3,3
16,TUB,9,N,6,0,0
16,INC,13,Y,6,0,0
17,SYR,19,N,6,1,1
17,TUB,10,N,6,0,0
17,INC,33,Y,6,1,1
18,SYR,15,Y,6,0,0
18,TUB,11,Y,6,2,0
18,INC,33,Y,6,1,0
19,SYR,16,Y,6,2,0
19,TUB,12,Y,6,0,0
19,INC,29,Y,6,0,0
20,SYR,14,Y,6,3,4
20,TUB,13,Y,6,0,0
20,INC,20,Y,6,0,0
21,SYR,12,Y,6,4,2
21,TUB,13,Y,6,0,0
21,INC,11,Y,6,0,0
22,SYR,13,N,6,3,0
22,TUB,19,Y,6,0,0
22,INC,16,Y,6,0,0
23,SYR,14,Y,6,2,1
23,TUB,9,N,6,0,0
23,INC,26,Y,6,0,0
24,SYR,14,Y,6,2,1
24,TUB,11,N,6,0,0
24,INC,27,Y,6,0,0
25,SYR,13,Y,6,2,1
25,TUB,14,N,6,0,0
25,INC,27,Y,6,0,0
1,SYR,9,N,30,1,3
1,TUB,10,N,30,1,3
1,INC,26,Y,30,1,5
2,SYR,9,Y,30,0,0
2,TUB,12,N,30,0,0
2,INC,9,N,30,1,1
3,SYR,17,Y,30,2,2
3,TUB,14,N,30,0,0
3,INC,22,Y,30,0,0
4,SYR,14,N,30,2,5
4,TUB,12,N,30,1,1
4,INC,12,N,30,1,5
5,SYR,13,N,30,1,5
5,TUB,9,N,30,0,0
5,INC,15,N,30,0,0
6,SYR,12,N,30,0,0
6,TUB,9,N,30,1,2
6,INC,25,Y,30,0,0
7,SYR,10,N,30,2,3
7,TUB,12,N,30,0,0
7,INC,22,Y,30,0,0
8,SYR,8,N,30,1,2
8,TUB,12,N,30,2,5
8,INC,16,N,30,0,0
9,SYR,12,Y,30,1,2
9,TUB,12,Y,30,0,0
9,INC,18,Y,30,2,6
10,SYR,12,N,30,1,4
10,TUB,11,Y,30,1,3
10,INC,25,Y,30,1,2
11,SYR,12,N,30,4,15
11,TUB,8,N,30,0,0
11,INC,24,Y,30,0,0
12,SYR,10,Y,30,2,8
12,TUB,12,Y,30,0,0
12,INC,11,N,30,0,0
13,SYR,17,Y,30,2,3
13,TUB,9,Y,30,0,0
13,INC,28,Y,30,0,0
14,SYR,18,Y,30,2,13
14,TUB,9,N,30,0,0
14,INC,27,Y,30,1,2
15,SYR,12,Y,30,1,2
15,TUB,12,N,30,0,0
15,INC,19,N,30,2,4
16,SYR,12,N,30,3,9
16,TUB,9,N,30,0,0
16,INC,13,Y,30,0,0
17,SYR,19,N,30,1,3
17,TUB,10,N,30,2,2
17,INC,33,Y,30,1,1
18,SYR,15,Y,30,0,0
18,TUB,11,Y,30,2,4
18,INC,33,Y,30,1,3
19,SYR,16,Y,30,2,3
19,TUB,12,Y,30,0,0
19,INC,29,Y,30,0,0
20,SYR,14,Y,30,2,6
20,TUB,13,Y,30,0,0
20,INC,20,Y,30,1,5
21,SYR,12,Y,30,4,12
21,TUB,13,Y,30,0,0
21,INC,11,Y,30,0,0
22,SYR,13,N,30,3,7
22,TUB,19,Y,30,0,0
22,INC,16,Y,30,0,0
23,SYR,14,Y,30,3,9
23,TUB,9,N,30,0,0
23,INC,26,Y,30,0,0
24,SYR,14,Y,30,3,4
24,TUB,11,N,30,0,0
24,INC,27,Y,30,0,0
25,SYR,13,Y,30,2,4
25,TUB,14,N,30,0,0
25,INC,27,Y,30,0,0
1,SYR,9,N,48,1,9
